DAUID,pop_2016,labour_unemployed,labour_total,income_lico,income_lim,income_total,vm_total,vm_minority,im_total,im_2011_2016
35140231,663.0,30.0,535.0,25.0,60.0,665.0,640.0,15.0,635.0,0.0
35140261,401.0,20.0,385.0,5.0,20.0,400.0,415.0,25.0,415.0,0.0
35140262,760.0,15.0,650.0,10.0,20.0,760.0,725.0,70.0,725.0,0.0
35150268,645.0,20.0,480.0,5.0,35.0,645.0,595.0,10.0,590.0,0.0
35160154,614.0,15.0,545.0,10.0,45.0,610.0,655.0,15.0,655.0,0.0
35160155,598.0,20.0,500.0,15.0,50.0,600.0,570.0,30.0,575.0,0.0
35160156,665.0,30.0,590.0,15.0,75.0,655.0,695.0,35.0,695.0,0.0
35160157,677.0,10.0,525.0,30.0,90.0,680.0,675.0,15.0,675.0,0.0
35160158,610.0,0.0,540.0,15.0,85.0,610.0,650.0,10.0,645.0,0.0
35160159,559.0,25.0,475.0,10.0,50.0,560.0,585.0,20.0,580.0,0.0
35160160,820.0,25.0,740.0,25.0,95.0,820.0,845.0,10.0,845.0,0.0
35160164,902.0,40.0,880.0,25.0,50.0,900.0,930.0,10.0,935.0,0.0
35160169,582.0,20.0,520.0,15.0,50.0,585.0,550.0,10.0,545.0,0.0
35160171,621.0,10.0,420.0,20.0,35.0,530.0,450.0,25.0,455.0,0.0
35160175,620.0,55.0,550.0,20.0,40.0,615.0,675.0,20.0,675.0,0.0
35160177,615.0,10.0,545.0,20.0,35.0,615.0,630.0,30.0,625.0,0.0
35180017,845.0,20.0,750.0,25.0,60.0,850.0,905.0,10.0,910.0,0.0
35180018,1573.0,90.0,1300.0,25.0,70.0,1575.0,1615.0,120.0,1615.0,0.0
35180019,717.0,35.0,670.0,20.0,55.0,715.0,825.0,55.0,825.0,0.0
35180021,517.0,10.0,430.0,20.0,55.0,515.0,520.0,10.0,520.0,15.0
35180022,452.0,15.0,395.0,25.0,85.0,445.0,455.0,30.0,455.0,15.0
35180024,505.0,20.0,370.0,15.0,20.0,505.0,475.0,25.0,475.0,0.0
35180025,514.0,10.0,435.0,5.0,20.0,515.0,525.0,0.0,525.0,0.0
35180026,1313.0,30.0,1010.0,40.0,125.0,1250.0,1200.0,60.0,1195.0,0.0
35180027,659.0,50.0,530.0,15.0,25.0,655.0,685.0,30.0,680.0,0.0
35180028,1342.0,30.0,1070.0,35.0,55.0,1340.0,1275.0,55.0,1275.0,0.0
35180035,1228.0,35.0,1135.0,20.0,50.0,1230.0,1325.0,60.0,1320.0,10.0
35180038,1366.0,30.0,1080.0,25.0,70.0,1360.0,1345.0,55.0,1350.0,15.0
35180039,603.0,0.0,555.0,30.0,50.0,600.0,665.0,70.0,665.0,10.0
35180042,983.0,30.0,800.0,10.0,25.0,975.0,1030.0,45.0,1025.0,0.0
35180043,548.0,10.0,425.0,25.0,25.0,550.0,490.0,30.0,490.0,0.0
35180044,443.0,10.0,395.0,15.0,25.0,430.0,475.0,15.0,475.0,0.0
35180045,268.0,20.0,255.0,10.0,35.0,270.0,280.0,10.0,280.0,10.0
35180046,436.0,25.0,390.0,10.0,15.0,435.0,425.0,10.0,425.0,0.0
35180047,480.0,0.0,395.0,10.0,20.0,470.0,480.0,10.0,480.0,0.0
35180048,400.0,15.0,360.0,35.0,75.0,400.0,395.0,30.0,395.0,0.0
35180050,512.0,15.0,360.0,25.0,60.0,435.0,385.0,10.0,390.0,10.0
35180051,401.0,20.0,345.0,20.0,55.0,395.0,395.0,10.0,400.0,0.0
35180052,605.0,0.0,320.0,10.0,55.0,390.0,355.0,10.0,355.0,0.0
35180056,419.0,0.0,345.0,15.0,45.0,420.0,410.0,20.0,410.0,0.0
35180057,428.0,25.0,380.0,15.0,40.0,430.0,465.0,0.0,465.0,0.0
35180058,649.0,30.0,510.0,20.0,30.0,645.0,605.0,0.0,600.0,0.0
35180059,495.0,0.0,385.0,25.0,50.0,495.0,435.0,45.0,435.0,0.0
35180060,452.0,0.0,380.0,15.0,35.0,445.0,500.0,15.0,500.0,0.0
35180061,531.0,20.0,460.0,5.0,25.0,530.0,560.0,20.0,560.0,0.0
35180063,850.0,35.0,730.0,20.0,55.0,850.0,830.0,25.0,835.0,0.0
35180064,1033.0,25.0,900.0,45.0,100.0,1035.0,1025.0,20.0,1025.0,10.0
35180065,858.0,25.0,725.0,25.0,70.0,860.0,855.0,20.0,855.0,10.0
35180066,421.0,30.0,340.0,10.0,45.0,425.0,425.0,0.0,420.0,0.0
35180067,565.0,20.0,490.0,20.0,50.0,565.0,575.0,10.0,580.0,0.0
35180068,468.0,20.0,405.0,25.0,40.0,465.0,490.0,20.0,490.0,0.0
35180069,399.0,20.0,340.0,10.0,35.0,400.0,370.0,10.0,370.0,0.0
35180070,489.0,20.0,420.0,20.0,35.0,490.0,545.0,10.0,550.0,0.0
35180075,885.0,15.0,715.0,30.0,50.0,885.0,835.0,60.0,840.0,0.0
35180086,243.0,10.0,205.0,,,,230.0,30.0,235.0,0.0
35180087,818.0,70.0,580.0,105.0,165.0,820.0,730.0,55.0,725.0,0.0
35180091,1871.0,100.0,1570.0,435.0,770.0,1870.0,1880.0,390.0,1880.0,15.0
35180094,251.0,10.0,260.0,30.0,40.0,255.0,305.0,45.0,310.0,0.0
35180097,970.0,40.0,810.0,55.0,105.0,970.0,990.0,215.0,985.0,25.0
35180098,673.0,25.0,645.0,45.0,115.0,670.0,770.0,135.0,770.0,10.0
35180099,384.0,0.0,335.0,15.0,40.0,385.0,355.0,15.0,355.0,0.0
35180101,792.0,15.0,705.0,15.0,25.0,785.0,760.0,30.0,760.0,10.0
35180102,920.0,15.0,845.0,15.0,55.0,920.0,865.0,20.0,865.0,0.0
35180103,356.0,10.0,390.0,10.0,30.0,355.0,400.0,15.0,400.0,0.0
35180104,348.0,30.0,290.0,0.0,25.0,350.0,315.0,35.0,315.0,0.0
35180107,472.0,25.0,410.0,25.0,35.0,470.0,490.0,75.0,495.0,0.0
35180108,372.0,10.0,345.0,15.0,30.0,375.0,375.0,0.0,375.0,10.0
35180109,491.0,35.0,405.0,25.0,35.0,490.0,475.0,45.0,475.0,0.0
35180112,559.0,40.0,550.0,20.0,25.0,555.0,625.0,15.0,625.0,20.0
35180113,461.0,10.0,375.0,25.0,40.0,460.0,430.0,30.0,430.0,0.0
35180114,636.0,25.0,455.0,55.0,90.0,570.0,495.0,40.0,500.0,0.0
35180115,394.0,10.0,340.0,25.0,40.0,395.0,380.0,15.0,380.0,0.0
35180116,490.0,25.0,410.0,15.0,35.0,485.0,465.0,35.0,465.0,10.0
35180117,423.0,40.0,415.0,15.0,20.0,425.0,485.0,70.0,480.0,0.0
35180118,433.0,0.0,375.0,30.0,40.0,425.0,410.0,10.0,410.0,0.0
35180121,398.0,35.0,320.0,15.0,35.0,400.0,360.0,20.0,355.0,0.0
35180122,604.0,35.0,490.0,15.0,45.0,605.0,660.0,45.0,660.0,0.0
35180123,576.0,10.0,490.0,25.0,50.0,580.0,560.0,45.0,560.0,15.0
35180124,223.0,10.0,140.0,,,,215.0,25.0,220.0,10.0
35180125,787.0,40.0,625.0,35.0,70.0,790.0,780.0,45.0,780.0,0.0
35180126,243.0,0.0,175.0,,,,205.0,35.0,210.0,0.0
35180127,566.0,20.0,500.0,25.0,30.0,565.0,620.0,75.0,620.0,0.0
