taz_id,employment
1,775
2,260
3,2775
4,10315
5,37720
6,11865
7,10
8,3260
9,555
10,355
11,6510
12,3270
13,3365
14,1360
15,1550
16,1870
17,1840
18,455
19,1085
20,820
21,9360
22,2535
23,3135
24,1115
25,9675
26,2805
27,3705
28,3705
29,3175
30,240
31,170
32,1155
33,7285
34,3860
35,8800
36,22170
37,14470
38,9440
39,1970
40,2950
41,4230
42,6925
43,13135
44,3490
45,15865
46,4285
47,5700
48,5195
49,9300
50,11695
51,25450
52,16870
53,8840
54,26755
55,46030
56,20635
57,42870
58,10650
59,8075
60,14025
61,1295
62,3805
63,9830
64,1500
65,34135
66,16610
67,11405
68,22875
69,15410
70,4205
71,8650
72,3035
73,2105
74,2300
75,7305
76,2555
77,9590
78,6715
79,910
80,890
81,3320
82,170
83,5
84,680
85,335
86,2640
87,390
88,520
89,785
90,9130
91,1480
92,2030
93,3500
94,2880
95,1525
96,1400
97,2520
98,2185
99,425
100,1355
101,4070
102,1145
103,745
104,1235
105,2165
106,1270
107,1540
108,745
109,1950
110,3730
111,5
112,360
113,7395
114,2085
115,1645
116,1755
117,1000
118,1700
119,965
120,2315
121,5
122,1915
123,470
124,2315
125,2200
126,1330
127,1935
128,405
129,1400
130,605
131,2970
132,1415
133,2740
134,5135
135,2725
136,640
137,715
138,445
139,855
140,625
141,1645
142,565
143,1015
144,665
145,1200
146,2630
147,995
148,560
149,1255
150,970
151,650
152,1935
153,665
154,615
155,880
156,3890
157,9180
158,1870
159,3485
160,2780
161,680
162,460
163,440
164,1115
165,1865
166,935
167,880
168,2940
169,1715
170,1870
171,855
172,675
173,2820
174,1465
175,1135
176,780
177,1400
178,1415
179,5705
180,6595
181,3495
182,1815
183,1760
184,1995
185,1400
186,1500
187,2285
188,2060
189,2075
190,540
191,1200
192,2060
193,3075
194,2105
195,3295
196,3885
197,1660
198,295
199,970
200,1785
201,5380
202,4085
203,5430
204,6260
205,2565
206,805
207,1285
208,120
209,3260
210,9385
211,11345
212,2400
213,625
214,1860
215,765
216,4600
217,3160
218,17750
219,1425
220,3995
221,4550
222,2110
223,8555
224,11235
225,430
226,655
227,2655
228,5320
229,900
230,2435
231,12785
232,590
233,865
234,745
235,455
236,9870
237,1185
238,740
239,2640
240,1940
241,670
242,2630
243,15930
244,1180
245,535
246,3565
247,1035
248,695
249,1650
250,470
251,530
252,1245
253,2505
254,1995
255,1370
256,950
257,1860
258,1960
259,5520
260,3045
261,355
262,815
263,1225
264,2050
265,440
266,1955
267,990
268,785
269,3810
270,2430
271,2745
272,3675
273,1215
274,1155
275,420
276,820
277,1730
278,1755
279,1820
280,2125
281,1120
282,2050
283,375
284,510
285,3445
286,1045
287,1800
288,2045
289,2815
290,1755
291,960
292,7225
293,475
294,1135
295,910
296,3475
297,1455
298,505
299,5035
300,2445
301,3855
302,340
303,70
304,330
305,390
306,790
307,6220
308,4550
309,9315
310,4520
311,1485
312,2160
313,4810
314,975
315,1405
316,1130
317,700
318,870
319,1080
320,630
321,1075
322,780
323,3360
324,925
325,635
326,1010
327,1480
328,1705
329,410
330,330
331,2670
332,1670
333,435
334,450
335,1705
336,1170
337,640
338,295
339,310
340,550
341,185
342,1075
343,1235
344,570
345,400
346,195
347,540
348,355
349,1130
350,1865
351,710
352,530
353,1510
354,2525
355,4805
356,3455
357,9880
358,8355
359,4500
360,4420
361,1815
362,1815
363,710
364,735
365,395
366,780
367,3830
368,2205
369,1610
370,530
371,3195
372,3435
373,985
374,875
375,1220
376,1815
377,195
378,7965
379,4905
380,135
381,95
382,1000
383,985
384,300
385,1075
386,3865
387,5440
388,9920
389,1745
390,670
391,11430
392,4595
393,11045
394,8560
395,4180
396,1020
397,655
398,275
399,290
400,1690
401,3175
402,6355
403,945
404,850
405,3505
406,1875
407,1345
408,745
409,895
410,675
411,415
412,410
413,450
414,1365
415,2880
416,260
417,360
418,340
419,1250
420,100
421,6730
422,2005
423,1675
424,1640
425,485
426,680
427,1755
428,2465
429,2470
430,2490
431,1715
432,970
433,395
434,365
435,1680
436,1705
437,870
438,725
439,1510
440,1200
441,3605
442,16810
443,3970
444,7950
445,1455
446,1620
447,1060
448,2640
449,465
450,2720
451,430
452,11565
453,985
454,4600
455,815
456,1560
457,895
458,2005
459,865
460,2055
461,965
462,685
463,5265
464,950
465,5060
466,555
467,1425
468,430
469,670
470,1000
471,370
472,565
473,11835
474,195
475,365
476,930
477,505
478,610
479,1930
480,980
481,5295
482,1015
483,510
484,15120
485,595
486,2475
487,560
488,1980
489,890
490,12390
491,9230
492,4935
493,1675
494,580
495,315
496,355
497,835
498,330
499,335
500,5580
501,2115
502,730
503,3170
504,1270
505,1305
506,705
507,1120
508,1555
509,365
510,3725
511,4045
512,1190
513,710
514,1070
515,1165
516,1360
517,275
518,775
519,845
520,340
521,865
522,380
523,1320
524,1165
525,4345
526,2725
527,790
528,3345
529,3775
530,6235
531,1295
532,1130
533,385
534,70
535,1120
536,1210
537,560
538,2645
539,990
540,1005
541,320
542,1090
543,1295
544,855
545,1500
546,850
547,640
548,290
549,910
550,205
551,400
552,925
553,250
554,860
555,660
556,805
557,365
558,525
559,700
560,2715
561,2565
562,740
563,300
564,400
565,260
566,1620
567,95
568,1130
569,1055
570,970
571,1430
572,1000
573,530
574,325
575,630
576,960
577,1190
578,7565
579,4185
580,2050
581,700
582,3310
583,305
584,565
585,1090
586,600
587,1110
588,1620
589,7035
590,835
591,2150
592,3430
593,580
594,985
595,2130
596,970
597,2570
598,2570
599,340
600,2250
601,2395
602,175
603,1095
604,935
605,2690
606,1345
607,260
608,400
609,6390
610,2455
611,1615
612,5280
613,1535
614,4190
615,5140
616,1235
617,460
618,210
619,405
620,1645
621,495
622,375
623,2645
624,210
625,1255
626,190
627,200
628,345
629,365
630,370
631,265
632,4970
633,10195
634,10195
635,9130
636,1650
637,1655
638,785
640,1875
641,2115
642,1245
643,2230
644,2795
645,5580
646,2115
647,70
648,550
649,15120
650,3035
1001,155
1002,120
1003,285
1004,2260
1005,65
1006,0
1007,5
1008,0
1009,6550
1010,5795
1011,1485
1012,50
1013,5505
1014,4120
1015,1805
1016,1700
1017,70
1018,55
1019,15
1020,970
1021,2220
1022,935
1023,440
1024,35
1025,15
1026,1390
1027,550
1028,190
1029,610
1030,170
1031,355
1032,380
1033,375
