DAUID,station,frac_area
"35201804",Eglinton/Kipling,0.031045086
"35201197",St. Clair GO,0.144029685
"35201198",St. Clair GO,0.762387041
"35201321",Lansdowne GO,0.031652024
"35201323",Lansdowne GO,0.651031177
"35201324",Lansdowne GO,0.384821906
"35201325",Lansdowne GO,0.132012195
"35201326",Lansdowne GO,0.000034145
"35201339",Lansdowne GO,0.608752137
"35201347",Lansdowne GO,0.999999059
"35201348",Lansdowne GO,0.999999451
"35201349",Lansdowne GO,0.999999516
"35201350",Lansdowne GO,0.917875360
"35201351",Lansdowne GO,0.990682110
"35201352",Lansdowne GO,0.865883662
"35201353",Lansdowne GO,0.643229591
"35201354",Lansdowne GO,0.388705778
"35201355",Lansdowne GO,0.142731983
"35201357",Bloor GO,0.518591617
"35201358",Bloor GO,0.341512141
"35203542",Lawrence East GO,0.436587013
"35203543",Lawrence East GO,0.000032409
"35203544",Lawrence East GO,0.034750001
"35203807",Queen Street GO,0.224288158
"35204001",Gerrard GO,0.133316430
"35204022",Union Station,0.283569226
"35204024",Liberty Village GO,0.240535160
"35200935",Lansdowne GO,0.144691621
"35200936",Lansdowne GO,0.510955237
"35200937",Lansdowne GO,0.999998394
"35200938",Lansdowne GO,0.999999315
"35200939",Lansdowne GO,1.000000544
"35203946",Agincourt GO,0.367758768
"35203948",Finch GO,0.045719088
"35203951",Agincourt GO,0.542789099
"35203175",East Harbour GO,0.028337288
"35190741",Milliken GO,0.065797704
"35203176",East Harbour GO,0.069588973
"35203177",Queen Street GO,0.787923526
"35203177",East Harbour GO,0.999369449
"35203265",Scarborough GO,0.159159120
"35203266",Scarborough GO,0.045193711
"35203267",Scarborough GO,0.900716882
"35203268",Scarborough GO,0.959862063
"35203269",Scarborough GO,0.853602138
"35203270",Scarborough GO,0.507804657
"35203271",Scarborough GO,0.882119960
"35203273",Scarborough GO,0.223981052
"35200940",Lansdowne GO,0.999998099
"35200941",Lansdowne GO,0.675497458
"35200942",Lansdowne GO,0.006273401
"35200949",Lansdowne GO,0.162212084
"35200949",Bloor GO,0.177621195
"35200950",Lansdowne GO,0.128655432
"35200950",Bloor GO,0.205716249
"35200951",Bloor GO,0.578196929
"35200952",Lansdowne GO,0.113377793
"35200952",Bloor GO,0.688325361
"35200953",Bloor GO,0.999999375
"35200954",Bloor GO,1.000000422
"35200955",Bloor GO,0.987580119
"35200956",Bloor GO,0.999998882
"35200957",Bloor GO,1.000000371
"35200958",Bloor GO,0.752067541
"35200959",Bloor GO,0.567913948
"35203190",Gerrard GO,0.024597167
"35203190",Queen Street GO,0.991083006
"35203190",East Harbour GO,0.000130949
"35203191",Queen Street GO,0.999998529
