DAUID,taz_id,frac_da_in_taz
"35180487","1035",0.9999997285
"35180488","1035",0.9999745310
"35180488","1036",0.0000253405
"35180489","1035",0.9999995718
"35180489","1036",0.0000003828
"35180490","1035",0.0000033101
"35180490","1036",0.9999967968
"35180491","1035",0.0000001771
"35180491","1036",0.9431400581
"35180491","1038",0.0568612377
"35180492","1035",0.9630138627
"35180492","1036",0.0016439843
"35180492","1037",0.0349878317
"35180492","1038",0.0003959175
"35180493","1036",0.9787904432
"35180493","1038",0.0211777367
"35180494","1036",0.0072839807
"35180494","1038",0.0000933222
"35180494","1046",0.9926053131
"35180494","1048",0.0000004404
"35180495","1046",0.9980637078
"35180495","1048",0.0019364477
"35180496","1046",0.9966088008
"35180496","1048",0.0033911816
"35180497","1036",0.0055402370
"35180497","1046",0.9944597875
"35180498","1046",1.0000000242
"35180177","1206",0.0000004122
"35180177","1207",0.9999986928
"35180179","1206",0.0052145601
"35180179","1207",0.9947850450
"35180229","1134",0.0012396183
"35180229","1136",0.9987603143
"35180230","1125",0.0000002957
"35180230","1136",0.9999997138
"35180231","1125",0.0000024469
"35180231","1134",0.0001995284
"35180231","1136",0.9997979267
"35180232","1134",0.9999995913
"35180232","1136",0.0000000023
"35180233","1124",0.0000100850
"35180233","1134",0.9999896371
"35180233","1136",0.0000000617
"35180234","1134",0.9999973144
"35180234","1135",0.0000027539
"35180235","1124",0.0000424393
"35180235","1134",0.9999575686
"35180236","1124",0.0001328638
"35180236","1132",0.0000004414
"35180236","1134",0.9998666063
"35180237","1134",1.0000002340
"35180238","1134",0.0099214188
"35180238","1135",0.9900782405
"35180239","1135",1.0000001543
"35180240","1134",0.0020415146
"35180240","1135",0.9979586527
"35180241","1134",0.1682065716
"35180241","1135",0.8317936357
"35180241","1136",0.0000000035
"35180017","1293",0.6754483436
"35180017","1294",0.0000232647
"35180017","1295",0.3240122984
"35180017","1313",0.0000448104
"35180017","1316",0.0000613026
"35180017","1319",0.0003855125
"35180017","1333",0.0000244675
"35180018","1293",0.0069129812
"35180018","1316",0.8942376334
"35180018","1317",0.0985988899
"35180018","1318",0.0001484510
"35180018","1319",0.0001020517
"35180019","1317",0.9986223889
"35180019","1318",0.0013774809
"35180021","1317",0.0000010272
"35180021","1318",0.9999991283
"35180022","1317",0.0000019826
"35180022","1318",0.9999982061
"35180024","1317",0.9992670011
"35180024","1318",0.0007330001
"35180025","1317",0.0001276093
"35180025","1318",0.9998723136
"35180158","1209",0.9916076477
"35180158","1210",0.0000012829
"35180158","1214",0.0083914323
"35180159","1209",0.0006650605
"35180159","1214",0.9993328396
"35180159","1215",0.0000019268
"35180160","1209",0.0022604107
"35180160","1214",0.9977397187
"35180161","1214",0.0347348792
"35180161","1219",0.0003503116
"35180161","1221",0.9649107290
"35180162","1219",0.0045119987
"35180162","1221",0.9954877014
"35180162","1222",0.0000000666
"35180162","1224",0.0000002357
"35180166","1218",0.8385929840
"35180166","1219",0.1614066925
"35180166","1220",0.0000001538
"35180167","1218",0.0000022606
"35180167","1219",0.9999968138
"35180169","1213",0.9915136884
"35180169","1214",0.0084862931
"35180170","1213",1.0000004076
"35180171","1207",0.0124654671
"35180171","1209",0.0000448140
"35180171","1213",0.9821836509
"35180171","1214",0.0053063024
"35180172","1207",0.0242186989
"35180172","1213",0.9757826653
"35180173","1213",0.9999998178
"35180174","1212",0.0205679138
"35180174","1213",0.9794320034
"35180175","1148",0.0007498530
"35180175","1204",0.1882600184
"35180175","1207",0.0000044675
"35180175","1212",0.8109843719
"35180175","1213",0.0000012715
"35180305","1125",0.9999996919
"35180306","1125",0.9999629647
"35180306","1136",0.0000367229
"35180307","1125",0.0000036842
"35180307","1136",0.9999961971
"35180309","1125",0.0287133675
"35180309","1183",0.9534970648
"35180309","1185",0.0097343053
"35180309","1190",0.0080550619
"35180310","1125",0.0822086830
"35180310","1183",0.9177916255
"35180310","1185",0.0000000377
"35180311","1183",0.9992839120
"35180311","1184",0.0006001121
"35180311","1185",0.0001158255
"35180312","1118",0.0000031136
"35180312","1125",0.0080768771
"35180312","1178",0.0008901014
"35180312","1183",0.1169543952
"35180312","1184",0.6539148571
"35180312","1185",0.2184900356
"35180312","1186",0.0011646484
"35180312","1190",0.0004973662
"35180312","1192",0.0000002082
"35180313","1185",0.9831269570
"35180313","1190",0.0172365174
"35180314","1185",0.9882657543
"35180314","1192",0.0113674155
"35180315","1185",0.9947563670
"35180315","1192",0.0052434808
"35180316","1184",0.0377441736
"35180316","1185",0.2718271697
"35180316","1186",0.6861811929
"35180316","1192",0.0023786077
"35180316","1194",0.0019479478
"35180317","1186",0.9940770259
"35180317","1187",0.0011574460
"35180317","1194",0.0047652918
"35180317","1197",0.0000001964
"35180318","1186",0.0000012376
"35180318","1187",0.9951060681
"35180318","1194",0.0000007320
"35180318","1197",0.0048919669
"35180319","1186",0.9995609480
"35180319","1187",0.0004388305
"35180320","1186",0.0000018510
"35180320","1187",0.9999983291
"35180366","1076",0.0171106880
"35180366","1077",0.0000526216
"35180366","1082",0.9816508689
"35180366","1083",0.0011858912
"35180367","1082",1.0000001446
"35180368","1076",0.9964545027
"35180368","1077",0.0035453704
"35180369","1076",1.0000001180
"35180370","1076",0.9999997144
"35180371","1069",0.0000264114
"35180371","1076",0.9999738552
"35180372","1069",0.2226741181
"35180372","1076",0.7773258587
"35180373","1069",0.9999998813
"35180374","1069",0.9999991522
"35180375","1068",0.0000010362
"35180375","1069",0.9997473705
"35180375","1076",0.0002515019
"35180380","1068",0.0000028825
"35180380","1075",0.9999974225
"35180381","1068",0.0002034353
"35180381","1075",0.9997965667
"35180382","1068",0.9999998719
"35180382","1075",0.0000000945
"35180383","1068",0.9999996574
"35190844","2216",0.0000202287
"35190844","2137",0.9997760375
"35190844","2214",0.0002036837
"35190962","2717",0.0609294765
"35190962","2705",0.0000135707
"35190962","2715",0.6949033647
"35190962","2716",0.2440993935
"35190962","2708",0.0000162458
"35190962","2707",0.0000128070
"35190962","2706",0.0000251361
"35190882","2616",1.0000005029
"35190883","2616",1.0000001658
"35190884","2602",0.0001786825
"35190884","2616",0.9998209597
"35190885","2614",0.0013226260
"35190885","2602",0.0002311683
"35190885","2616",0.9984459313
"35190886","2615",0.0000046719
"35190886","2617",0.0322147440
"35190886","2616",0.9677803744
"35190886","2619",0.0000002708
"35190887","2615",0.9982686248
"35190887","2614",0.0001182163
"35190887","2616",0.0016125870
"35190888","2615",0.9998818671
"35190888","2614",0.0001185630
"35190889","2615",0.9997754887
"35190889","2614",0.0002243363
"35190890","2615",0.0006972054
"35190890","2614",0.9993028713
"35190891","2612",0.0003286647
"35190891","2615",0.0001959877
"35190891","2614",0.9994752391
"35190989","2704",0.0000160797
"35190989","2703",0.5777420878
"35190989","2571",0.0000364296
"35190989","2705",0.0000173969
"35190989","2702",0.4221880064
"35180797","1200",0.9997010467
"35180797","1201",0.0000038498
"35180797","1202",0.0002949591
"35180797","1203",0.0000000000
"35180798","1188",0.0000600983
"35180798","1200",0.9999398734
"35180799","1213",0.0212152538
"35180799","1214",0.0000836609
"35180799","1217",0.0577083856
"35180799","1218",0.0000000008
"35180799","1219",0.9160198676
"35180799","1221",0.0049727506
"35180800","1218",0.0000024610
"35180800","1219",0.9999977906
"35180801","1135",0.0000359799
"35180801","1145",0.6142133326
"35180801","1146",0.3193530933
"35180801","1147",0.0658501931
"35180801","1148",0.0005473933
"35180802","1140",0.9999998719
"35180803","1087",0.0000001293
"35180803","1126",0.0000000485
"35180803","1127",0.0000007661
"35180803","1129",0.0000127288
"35180803","1138",0.3733387936
"35180803","1139",0.3210991407
"35180803","1140",0.3055483218
"35180803","1142",0.0000000572
"35180804","1186",0.0059005583
"35180804","1187",0.9940995784
"35180805","1180",0.0010537436
"35180805","1181",0.0000162964
"35180805","1187",0.9988668303
"35180805","1188",0.0000759108
"35180972","1277",0.2773541874
"35180972","1280",0.0000320050
"35180972","1281",0.7215155240
"35191074","2022",0.0084682801
"35191074","2024",0.9772143719
"35191074","2023",0.0143172846
"35191075","2026",0.0000272372
"35191075","2044",0.9224115830
"35191075","2025",0.0775611225
"35191106","2386",0.0029634381
"35191106","2384",0.0000000208
"35191106","2387",0.5146298686
"35191106","2388",0.4781727954
"35191106","2385",0.0000944196
"35191106","2463",0.0041395534
"35191107","2388",1.0000011639
"35191108","2388",1.0000011079
"35191109","2383",0.9999998857
"35191110","2383",1.0000001950
"35191111","2411",0.0009828741
"35191111","2383",0.9988919541
"35191111","2410",0.0000005295
"35191111","2386",0.0001249164
"35191112","2448",1.0000000775
"35190963","2717",0.4741488211
"35190963","2715",0.0000191124
"35190963","2716",0.5258320693
"35190964","2717",0.9998589556
"35190964","2718",0.0001410682
"35191098","2060",0.9981615765
"35191098","2058",0.0010791455
"35191098","2061",0.0007577023
"35191099","2060",0.3873548209
"35191099","2061",0.6126454280
"35191100","2060",0.0002708776
"35191100","2069",0.0072415432
"35191100","2061",0.9924874984
"35191101","2244",1.0000003256
"35191102","2245",0.0647496779
"35191102","2244",0.9351711148
"35191102","2207",0.0000793315
"35191103","2269",0.0000581729
"35191103","2257",0.0104123992
"35191103","2256",0.9892721279
"35191103","2270",0.0002570238
"35191104","2269",0.0010297598
"35191104","2376",0.0002290956
"35191104","2256",0.1592992805
"35191104","2270",0.8378479125
"35191104","2255",0.0015190680
"35191104","2271",0.0000749390
"35191105","2386",0.9993281213
"35191105","2408",0.0005338693
"35191105","2387",0.0001382272
"35191138","2216",0.9994553520
"35191138","2214",0.0005438007
"35191139","2216",0.9997235783
"35191139","2215",0.0000895873
"35191139","2214",0.0001872941
"35191140","2211",0.0039560864
"35191140","2209",0.9956757716
"35191140","2208",0.0003674311
"35191141","2211",0.0007052579
